Location (v2),Description
custom.code_location.filename,"The relative path to the file in the repository (for example, src/main/app.js)."
custom.code_location.line_start,The first line of the finding's code block.
custom.code_location.column_start,The first column of the finding's code block.
custom.code_location.line_end,The last line of the finding's code block.
custom.code_location.column_end,The last column of the finding's code block.
custom.code_location.is_test_file,"True if the code file is a test file, false otherwise."
custom.code_location.url,"The URL in to watch the file online. For instance the file view in github.com, highlighting the code location described by this object."
custom.code_location.symbol,The symbol that we found to be reachable.
custom.api_endpoint,The object representation of the HTTP endpoint.
custom.api_endpoint.operation_name,"Name of the entry-point into a service. examples: http.request, grpc.server."
custom.api_endpoint.path,The relative path of the endpoint.
custom.api_endpoint.method,"The method of the endpoint (HTTP verb, gRPC method)."
custom.api_endpoint.resource_name,"The internal identification of the endpoint, in the form of a string composed of ""{method} {path}""."
custom.package,"A package manager is a tool that automates the installation, upgrading, configuration, and removal of software packages, managing dependencies and versioning to ensure consistency in development or runtime environments. Examples: Bundle, NPM, Aptitude, Yum, ."
custom.package.name,Contains name of the package or library where the vulnerability that is identified.
custom.package.version,Contains version of the package or library where the vulnerability that is identified.
custom.package.additional_names,Contains the list of affected package names when a cloud vulnerability impacts multiple packages derived from the same source package.
custom.package.normalized_name,Contains normalized name according to the ecosystem of the package or library where the vulnerability that is identified.
custom.package.manager,Indicates the package management ecosystem or source registry from which the vulnerable component originates.
custom.package.dependency_type,"Indicates whether this package is a direct or a transitive dependency, or not supported if the information can not be retrieved."
custom.package.loading_type,"Used for runtime detection, indicates if the component is always loaded and running (hot), running infrequently (cold) or loaded on demand (lazy)."
custom.package.dependency_location_text,-
custom.package.declaration,Code locations of the package definition.
custom.package.declaration.block,Indicates the location of the code that declares the whole dependency declaration.
custom.package.declaration.block.filename,Name of the file where the package declaration block is defined.
custom.package.declaration.block.line_start,Line number where the package declaration block starts in the file.
custom.package.declaration.block.line_end,Line number where the package declaration block ends in the file.
custom.package.declaration.block.column_start,Column position where the package declaration block starts on the line.
custom.package.declaration.block.column_end,Column position where the package declaration block ends on the line.
custom.package.declaration.name,Indicates the location of the code that declares the name of the dependency.
custom.package.declaration.name.filename,File name where the package name is declared.
custom.package.declaration.name.line_start,Line number where the package name declaration starts in the file.
custom.package.declaration.name.line_end,Line number where the package name declaration ends in the file.
custom.package.declaration.name.column_start,Column position where the package name declaration starts on the line.
custom.package.declaration.name.column_end,Column position where the package name declaration ends on the line.
custom.package.declaration.name.symbol,-
custom.package.declaration.version,Indicates the location of the code that declares the version of the dependency.
custom.package.declaration.version.filename,Name of the file where the dependency package version is declared.
custom.package.declaration.version.line_start,Line number where the package version declaration starts in the file.
custom.package.declaration.version.line_end,Line number where the package version declaration ends in the file.
custom.package.declaration.version.column_start,Column position where the package version declaration starts on the line.
custom.package.declaration.version.column_end,Column position where the package version declaration ends on the line.
custom.package.declaration.version.symbol,-
custom.package.scope,Indicates the intended usage scope of the package (production or development).
custom.package.root_parents,Contains a list of the dependencies for which this package is a transitive dependency. One of them will be root_parent.name.
custom.package.root_parents.name,Contains a dependency name for which this package is a transitive dependency. One of them will be root_parent.name.
custom.package.root_parents.version,Contains a dependency version for which this package is a transitive dependency. One of them will be root_parent.version.
custom.package.root_parents.language,Contains a dependency language for which this package is a transitive dependency.
custom.package.root_parents.declaration,Indicates the location of the code that declates the version of a root parent.
custom.package.root_parents.declaration.version,The version declared for the root parent.
custom.package.root_parents.declaration.version.filename,Name of the file where the root parent package version is declared.
custom.package.root_parents.declaration.version.line_start,Line number where the root parent package version declaration starts in the file.
custom.package.root_parents.declaration.version.line_end,Line number where the root parent package version declaration ends in the file.
custom.package.root_parents.declaration.version.column_start,Column position where the root parent package version declaration starts on the line.
custom.package.root_parents.declaration.version.column_end,Column position where the root parent package version declaration ends on the line.
custom.secret,-
custom.secret.validation_status,Represents the result of attempting to validate if the secret is active.
custom.additional_resources,"List of additional resources. For example, an AWS EC2 instance can have security groups and Auto Scaling groups as additional resources."
custom.additional_resources.category,"Category of the additional resource. Valid values: cloud,k8s,host,services,container,container_image,git."
custom.additional_resources.configuration,The configuration of the additional resource.
custom.runtime_context.span_id,Represents the span id where the finding has been found. Currently only for IAST.
custom.runtime_context.trace_id,Represents the trace id where the finding has been found. Currently only for IAST.
custom.runtime_context.stacktrace_id,Represents the stack trace id where the finding has been found. Currently only for IAST.
custom.related_services,The services that are inferred (for example from SCI for SAST).
