Location (v2),Description
custom.package,Contains package manager information. A package manager automates the installation, upgrading, configuration, and removal of software packages.
custom.package.name,Name of the package or library where the vulnerability was identified.
custom.package.version,Version of the package or library where the vulnerability was identified.
custom.package.additional_names,List of affected package names when a cloud vulnerability impacts multiple packages derived from the same source package.
custom.package.normalized_name,Normalized name according to the ecosystem of the package or library where the vulnerability was identified.
custom.package.manager,Indicates the package management ecosystem or source registry from which the vulnerable component originates.
custom.package.dependency_type,Indicates whether this package is a direct dependency, transitive dependency, or not supported if the information cannot be retrieved.
custom.package.loading_type,Indicates if the component is always loaded and running (`hot`), running infrequently (`cold`), or loaded on demand (`lazy`).
custom.package.dependency_location_text,-
custom.package.declaration,Contains code locations of the package definition.
custom.package.declaration.block,Contains the location of the code that declares the whole dependency declaration.
custom.package.declaration.block.filename,Name of the file where the package declaration block is defined.
custom.package.declaration.block.line_start,Line number where the package declaration block starts in the file.
custom.package.declaration.block.line_end,Line number where the package declaration block ends in the file.
custom.package.declaration.block.column_start,Column position where the package declaration block starts on the line.
custom.package.declaration.block.column_end,Column position where the package declaration block ends on the line.
custom.package.declaration.name,Contains the location of the code that declares the dependency name.
custom.package.declaration.name.filename,File name where the package name is declared.
custom.package.declaration.name.line_start,Line number where the package name declaration starts in the file.
custom.package.declaration.name.line_end,Line number where the package name declaration ends in the file.
custom.package.declaration.name.column_start,Column position where the package name declaration starts on the line.
custom.package.declaration.name.column_end,Column position where the package name declaration ends on the line.
custom.package.declaration.name.symbol,-
custom.package.declaration.version,Contains the location of the code that declares the dependency version.
custom.package.declaration.version.filename,Name of the file where the dependency package version is declared.
custom.package.declaration.version.line_start,Line number where the package version declaration starts in the file.
custom.package.declaration.version.line_end,Line number where the package version declaration ends in the file.
custom.package.declaration.version.column_start,Column position where the package version declaration starts on the line.
custom.package.declaration.version.column_end,Column position where the package version declaration ends on the line.
custom.package.declaration.version.symbol,-
custom.package.scope,Indicates the intended usage scope of the package (`production` or `development`).
custom.package.root_parents,Contains a list of the dependencies for which this package is a transitive dependency.
custom.package.root_parents.name,Dependency name for which this package is a transitive dependency.
custom.package.root_parents.version,Dependency version for which this package is a transitive dependency.
custom.package.root_parents.language,Dependency language for which this package is a transitive dependency.
custom.package.root_parents.declaration,Contains the location of the code that declares the version of a root parent.
custom.package.root_parents.declaration.version,Version declared for the root parent.
custom.package.root_parents.declaration.version.filename,Name of the file where the root parent package version is declared.
custom.package.root_parents.declaration.version.line_start,Line number where the root parent package version declaration starts in the file.
custom.package.root_parents.declaration.version.line_end,Line number where the root parent package version declaration ends in the file.
custom.package.root_parents.declaration.version.column_start,Column position where the root parent package version declaration starts on the line.
custom.package.root_parents.declaration.version.column_end,Column position where the root parent package version declaration ends on the line.
custom.secret,-
custom.secret.validation_status,Result of attempting to validate if the secret is active.
custom.additional_resources,List of additional resources. For example, an AWS EC2 instance can have security groups and Auto Scaling groups as additional resources.
custom.additional_resources.category,"Category of the additional resource. Valid values: `cloud_resource`, `k8s`, `host`, `service`, `git`, `iac_resource`."
custom.additional_resources.configuration,Configuration of the additional resource.
custom.runtime_context.span_id,Span identifier where the finding was detected. Available only for IAST (Interactive Application Security Testing).
custom.runtime_context.trace_id,Trace identifier where the finding was detected. Available only for IAST (Interactive Application Security Testing).
custom.runtime_context.stacktrace_id,Stack trace identifier where the finding was detected. Available only for IAST (Interactive Application Security Testing).
custom.related_services,Services that are inferred from Source Code Integration (for example, for SAST findings).
